dataset,repetition,method,group,n,ks_to_marginal
cps_wage,3,SR-TI,5,1947,0.0709117098542108
cps_wage,3,ASR-TI,1,1948,0.0715304456583777
cps_wage,3,ASR-TI,2,1948,0.0271340192578665
cps_wage,3,ASR-TI,3,1948,0.0141856984755929
cps_wage,3,ASR-TI,4,1948,0.0262476404169354
cps_wage,3,ASR-TI,5,1947,0.0698798475864649
cps_wage,3,CQR-TI,1,1948,0.107721384395558
cps_wage,3,CQR-TI,2,1948,0.036665121899229
cps_wage,3,CQR-TI,3,1948,0.0210555561763675
cps_wage,3,CQR-TI,4,1948,0.0360191026869044
cps_wage,3,CQR-TI,5,1947,0.104963639327485
cps_wage,4,SR-TI,1,1948,0.0691624289226006
cps_wage,4,SR-TI,2,1948,0.0366198963375307
cps_wage,4,SR-TI,3,1948,0.0169878911457628
cps_wage,4,SR-TI,4,1948,0.0155229097514955
cps_wage,4,SR-TI,5,1947,0.0895210394480323
cps_wage,4,ASR-TI,1,1948,0.0684430894814621
cps_wage,4,ASR-TI,2,1948,0.036523383512974
cps_wage,4,ASR-TI,3,1948,0.0169578989026318
cps_wage,4,ASR-TI,4,1948,0.0156195807073868
cps_wage,4,ASR-TI,5,1947,0.0875680109618094
cps_wage,4,CQR-TI,1,1948,0.0779457284825949
cps_wage,4,CQR-TI,2,1948,0.0671763520703503
cps_wage,4,CQR-TI,3,1948,0.0556600686543002
cps_wage,4,CQR-TI,4,1948,0.0447345639043512
cps_wage,4,CQR-TI,5,1947,0.14982380659085
cps_wage,5,SR-TI,1,1948,0.0548719947930514
cps_wage,5,SR-TI,2,1948,0.0483264644595609
cps_wage,5,SR-TI,3,1948,0.0227561532592028
cps_wage,5,SR-TI,4,1948,0.012239945113668
cps_wage,5,SR-TI,5,1947,0.0994044721309381
cps_wage,5,ASR-TI,1,1948,0.0523043108921074
cps_wage,5,ASR-TI,2,1948,0.0492498987432354
cps_wage,5,ASR-TI,3,1948,0.0235769603067157
cps_wage,5,ASR-TI,4,1948,0.0104994989345111
cps_wage,5,ASR-TI,5,1947,0.0989922756940218
cps_wage,5,CQR-TI,1,1948,0.0656427943873075
cps_wage,5,CQR-TI,2,1948,0.0568922807240222
cps_wage,5,CQR-TI,3,1948,0.0524793095690753
cps_wage,5,CQR-TI,4,1948,0.0556314468827359
cps_wage,5,CQR-TI,5,1947,0.113166221852075
cps_wage,6,SR-TI,1,1948,0.0672095596506184
cps_wage,6,SR-TI,2,1948,0.0410310753373522
cps_wage,6,SR-TI,3,1948,0.0247863487538091
cps_wage,6,SR-TI,4,1948,0.0309159409668318
cps_wage,6,SR-TI,5,1947,0.106148229445961
cps_wage,6,ASR-TI,1,1948,0.0654597837227194
cps_wage,6,ASR-TI,2,1948,0.0403130536573353
cps_wage,6,ASR-TI,3,1948,0.0268400003963825
cps_wage,6,ASR-TI,4,1948,0.0309188400412996
cps_wage,6,ASR-TI,5,1947,0.106968192368322
cps_wage,6,CQR-TI,1,1948,0.0606892776202204
cps_wage,6,CQR-TI,2,1948,0.0555553857107888
cps_wage,6,CQR-TI,3,1948,0.0517708284795799
cps_wage,6,CQR-TI,4,1948,0.0196848737679725
cps_wage,6,CQR-TI,5,1947,0.14714463522593
cps_wage,7,SR-TI,1,1948,0.0597212503001859
cps_wage,7,SR-TI,2,1948,0.0367163564516425
cps_wage,7,SR-TI,3,1948,0.0330061209477001
cps_wage,7,SR-TI,4,1948,0.0370828521748224
cps_wage,7,SR-TI,5,1947,0.0895471972567209
cps_wage,7,ASR-TI,1,1948,0.058490250570696
cps_wage,7,ASR-TI,2,1948,0.0376455361738078
cps_wage,7,ASR-TI,3,1948,0.0336210937079964
cps_wage,7,ASR-TI,4,1948,0.0367757084125659
cps_wage,7,ASR-TI,5,1947,0.0902589955306535
cps_wage,7,CQR-TI,1,1948,0.0759928592106126
cps_wage,7,CQR-TI,2,1948,0.052680241784919
cps_wage,7,CQR-TI,3,1948,0.026190291452917
cps_wage,7,CQR-TI,4,1948,0.0167121100982038
cps_wage,7,CQR-TI,5,1947,0.121669882864172
cps_wage,8,SR-TI,1,1948,0.0811728727593054
cps_wage,8,SR-TI,2,1948,0.0481193124112225
cps_wage,8,SR-TI,3,1948,0.00785997069720956
cps_wage,8,SR-TI,4,1948,0.0298987875121787
cps_wage,8,SR-TI,5,1947,0.0984584138041928
cps_wage,8,ASR-TI,1,1948,0.0805597448645795
