dataset,repetition,method,group_type,group,n,coverage,mean_width,lower_miss,upper_miss
cps_wage,10,Parametric-TI,predicted_scale_quintile,3,1948,0.963039014373717,43.283000809535,0.0231006160164271,0.0138603696098563
cps_wage,10,Parametric-TI,predicted_scale_quintile,4,1948,0.954312114989733,54.8833235499196,0.0215605749486653,0.0241273100616016
cps_wage,10,Parametric-TI,predicted_scale_quintile,5,1947,0.944530046224962,56.8917068309468,0.0292758089368259,0.0261941448382126
cps_wage,11,SR-TI,predicted_scale_quintile,1,1948,0.870636550308008,21.1270587875794,0.066735112936345,0.0626283367556468
cps_wage,11,SR-TI,predicted_scale_quintile,2,1948,0.910677618069815,26.8901902926881,0.0518480492813142,0.0374743326488706
cps_wage,11,SR-TI,predicted_scale_quintile,3,1948,0.925051334702259,31.6518706833663,0.0405544147843943,0.034394250513347
cps_wage,11,SR-TI,predicted_scale_quintile,4,1948,0.934804928131417,46.691289213975,0.0333675564681725,0.0318275154004107
cps_wage,11,SR-TI,predicted_scale_quintile,5,1947,0.947611710323575,67.4914672061687,0.0241397021058038,0.0282485875706215
cps_wage,11,ASR-TI,predicted_scale_quintile,1,1948,0.876796714579055,21.6587295377569,0.0693018480492813,0.0539014373716633
cps_wage,11,ASR-TI,predicted_scale_quintile,2,1948,0.907084188911704,27.656204499323,0.0569815195071869,0.0359342915811088
cps_wage,11,ASR-TI,predicted_scale_quintile,3,1948,0.925564681724846,32.6350834181907,0.0431211498973306,0.0313141683778234
cps_wage,11,ASR-TI,predicted_scale_quintile,4,1948,0.934804928131417,48.3146646842364,0.0359342915811088,0.0292607802874743
cps_wage,11,ASR-TI,predicted_scale_quintile,5,1947,0.949666153055984,70.3868351976096,0.0251669234720082,0.0251669234720082
cps_wage,11,CQR-TI,predicted_scale_quintile,1,1948,0.910164271047228,25.9413488792374,0.0467145790554415,0.0431211498973306
cps_wage,11,CQR-TI,predicted_scale_quintile,2,1948,0.916324435318275,28.7053946780889,0.0503080082135524,0.0333675564681725
cps_wage,11,CQR-TI,predicted_scale_quintile,3,1948,0.912731006160164,31.0607356922707,0.0456878850102669,0.0415811088295688
cps_wage,11,CQR-TI,predicted_scale_quintile,4,1948,0.91735112936345,44.0905018306937,0.0410677618069815,0.0415811088295688
cps_wage,11,CQR-TI,predicted_scale_quintile,5,1947,0.908577298407807,52.828096115744,0.0385208012326656,0.0529019003595275
cps_wage,11,Parametric-TI,predicted_scale_quintile,1,1948,0.941478439425051,29.6851898268792,0.0328542094455852,0.0256673511293634
cps_wage,11,Parametric-TI,predicted_scale_quintile,2,1948,0.937885010266941,32.1848994719681,0.0379876796714579,0.0241273100616016
cps_wage,11,Parametric-TI,predicted_scale_quintile,3,1948,0.935831622176591,33.9397025222727,0.034394250513347,0.0297741273100616
cps_wage,11,Parametric-TI,predicted_scale_quintile,4,1948,0.92299794661191,43.2109492482152,0.0379876796714579,0.0390143737166324
cps_wage,11,Parametric-TI,predicted_scale_quintile,5,1947,0.903954802259887,47.3485656836437,0.0436569080636877,0.0523882896764253
cps_wage,12,SR-TI,predicted_scale_quintile,1,1948,0.885010266940452,21.2935027574697,0.0513347022587269,0.0636550308008214
cps_wage,12,SR-TI,predicted_scale_quintile,2,1948,0.905030800821355,30.4156551917943,0.0472279260780288,0.047741273100616
cps_wage,12,SR-TI,predicted_scale_quintile,3,1948,0.916837782340862,33.368182699236,0.0426078028747433,0.0405544147843943
cps_wage,12,SR-TI,predicted_scale_quintile,4,1948,0.920431211498973,42.7159748171823,0.0385010266940452,0.0410677618069815
cps_wage,12,SR-TI,predicted_scale_quintile,5,1947,0.945043656908064,57.7070930023912,0.0277349768875193,0.0272213662044171
cps_wage,12,ASR-TI,predicted_scale_quintile,1,1948,0.885523613963039,21.4704008772676,0.0518480492813142,0.0626283367556468
cps_wage,12,ASR-TI,predicted_scale_quintile,2,1948,0.908110882956879,30.6942427720944,0.0472279260780288,0.0446611909650924
cps_wage,12,ASR-TI,predicted_scale_quintile,3,1948,0.91735112936345,33.6867187150655,0.0431211498973306,0.0395277207392197
cps_wage,12,ASR-TI,predicted_scale_quintile,4,1948,0.921457905544148,43.156894543675,0.0385010266940452,0.040041067761807
cps_wage,12,ASR-TI,predicted_scale_quintile,5,1947,0.945557267591166,58.4210846820963,0.0282485875706215,0.0261941448382126
cps_wage,12,CQR-TI,predicted_scale_quintile,1,1948,0.918891170431212,24.5139639493204,0.0379876796714579,0.0431211498973306
cps_wage,12,CQR-TI,predicted_scale_quintile,2,1948,0.911190965092402,32.2212621126124,0.0431211498973306,0.0456878850102669
cps_wage,12,CQR-TI,predicted_scale_quintile,3,1948,0.918891170431212,34.7334584815041,0.0390143737166324,0.0420944558521561
cps_wage,12,CQR-TI,predicted_scale_quintile,4,1948,0.921457905544148,43.2878202613331,0.0354209445585216,0.0431211498973306
cps_wage,12,CQR-TI,predicted_scale_quintile,5,1947,0.908063687724705,47.5028332851683,0.049306625577812,0.0426296866974833
cps_wage,12,Parametric-TI,predicted_scale_quintile,1,1948,0.938398357289528,28.1202592664238,0.0313141683778234,0.0302874743326489
cps_wage,12,Parametric-TI,predicted_scale_quintile,2,1948,0.931211498973306,34.6998522739775,0.034394250513347,0.034394250513347
cps_wage,12,Parametric-TI,predicted_scale_quintile,3,1948,0.930184804928131,35.8995635148159,0.0369609856262834,0.0328542094455852
cps_wage,12,Parametric-TI,predicted_scale_quintile,4,1948,0.91735112936345,41.1535649687277,0.0405544147843943,0.0420944558521561
cps_wage,12,Parametric-TI,predicted_scale_quintile,5,1947,0.900359527478172,42.8739873123739,0.0564971751412429,0.0431432973805855
cps_wage,13,SR-TI,predicted_scale_quintile,1,1948,0.881416837782341,24.33481507397,0.0636550308008214,0.0549281314168378
cps_wage,13,SR-TI,predicted_scale_quintile,2,1948,0.907084188911704,31.5336016882735,0.0487679671457906,0.0441478439425051
cps_wage,13,SR-TI,predicted_scale_quintile,3,1948,0.915811088295688,38.3579949844422,0.0426078028747433,0.0415811088295688
cps_wage,13,SR-TI,predicted_scale_quintile,4,1948,0.927618069815195,42.5143974343386,0.0405544147843943,0.0318275154004107
cps_wage,13,SR-TI,predicted_scale_quintile,5,1947,0.956343091936312,48.0961441164507,0.022085259373395,0.0215716486902928
cps_wage,13,ASR-TI,predicted_scale_quintile,1,1948,0.878850102669405,24.8095630131504,0.0698151950718686,0.0513347022587269
cps_wage,13,ASR-TI,predicted_scale_quintile,2,1948,0.903490759753593,32.2126534733941,0.0559548254620123,0.0405544147843943
cps_wage,13,ASR-TI,predicted_scale_quintile,3,1948,0.916837782340862,39.2448424491222,0.0456878850102669,0.0374743326488706
cps_wage,13,ASR-TI,predicted_scale_quintile,4,1948,0.926078028747433,43.5927534249094,0.0446611909650924,0.0292607802874743
cps_wage,13,ASR-TI,predicted_scale_quintile,5,1947,0.954288649203903,49.5625534718896,0.0272213662044171,0.0184899845916795
cps_wage,13,CQR-TI,predicted_scale_quintile,1,1948,0.90605749486653,27.2236130638707,0.0539014373716633,0.040041067761807
cps_wage,13,CQR-TI,predicted_scale_quintile,2,1948,0.912217659137577,33.3221951439436,0.0472279260780288,0.0405544147843943
cps_wage,13,CQR-TI,predicted_scale_quintile,3,1948,0.919404517453799,42.4326620724922,0.040041067761807,0.0405544147843943
cps_wage,13,CQR-TI,predicted_scale_quintile,4,1948,0.919404517453799,44.5656121096639,0.0487679671457906,0.0318275154004107
cps_wage,13,CQR-TI,predicted_scale_quintile,5,1947,0.918849512069851,40.3305975464579,0.0446841294298921,0.0364663585002568
cps_wage,13,Parametric-TI,predicted_scale_quintile,1,1948,0.940451745379877,32.7792843731505,0.0333675564681725,0.0261806981519507
cps_wage,13,Parametric-TI,predicted_scale_quintile,2,1948,0.945585215605749,38.4238223323695,0.0292607802874743,0.0251540041067762
cps_wage,13,Parametric-TI,predicted_scale_quintile,3,1948,0.935318275154004,43.4612484081029,0.0308008213552361,0.0338809034907598
cps_wage,13,Parametric-TI,predicted_scale_quintile,4,1948,0.929671457905544,43.673713472202,0.0405544147843943,0.0297741273100616
